,Unnamed: 0,CR2MET,72hr_period,72hr_prec,AR existence,Duration_that_AR_(IVT>=250)_covered_the_Maipo,Maximum/average_IVT_during_the_72hr_period_over_the_Maipo
0,0,1,2000-06-12_2000-06-14,218.5693,True,4,1053.88232421875
1,1,2,1984-07-02_1984-07-04,215.4766,True,58.333333333333336 %,1350.8675537109375
2,2,3,1984-07-03_1984-07-05,196.5259,True,50.0 %,1305.2593994140625
3,3,4,2002-06-02_2002-06-04,188.7824,True,8.333333333333334 %,868.4955444335938
4,4,5,1987-07-13_1987-07-15,181.3031,True,50.0 %,1391.39111328125
5,5,6,1987-07-14_1987-07-16,180.407,True,33.333333333333336 %,1040.5791015625
6,6,7,1997-06-19_1997-06-21,176.8644,True,50.0 %,1349.7921142578125
7,7,8,1986-06-15_1986-06-17,171.6751,True,83.33333333333333 %,1015.127685546875
8,8,9,1982-06-25_1982-06-27,169.1151,True,58.333333333333336 %,1461.17626953125
9,9,10,2000-06-11_2000-06-13,168.0243,True,75.0 %,1196.946044921875
10,10,11,1982-06-24_1982-06-26,165.1421,True,41.666666666666664 %,1429.0936279296875
11,11,12,1986-06-14_1986-06-16,158.8739,True,50.0 %,1015.127685546875
12,12,13,1987-08-11_1987-08-13,156.2681,True,50.0 %,1158.0211181640625
13,13,14,2002-06-01_2002-06-03,155.3397,True,8.333333333333334 %,868.4955444335938
14,14,15,2002-06-03_2002-06-05,153.9481,True,8.333333333333334 %,868.4955444335938
15,15,16,1987-08-09_1987-08-11,147.7163,True,66.66666666666667 %,1110.8907470703125
16,16,17,1997-06-18_1997-06-20,146.8871,True,50.0 %,1349.7921142578125
17,17,18,1984-07-01_1984-07-03,146.8608,True,41.666666666666664 %,1167.70751953125
18,18,19,2000-06-13_2000-06-15,146.7983,True,58.333333333333336 %,1216.7894287109375
19,19,20,1986-05-26_1986-05-28,146.2938,True,50.0 %,971.447021484375
20,20,21,1997-06-20_1997-06-22,145.7408,,,
21,21,22,2001-07-17_2001-07-19,143.6005,,,
22,22,23,1982-06-11_1982-06-13,143.1007,,,
23,23,24,1980-04-08_1980-04-10,142.7227,,,
24,24,25,1984-07-04_1984-07-06,141.9953,,,
